company_name,industry,tier
volen software services pvt ltd,IT,3
vtech informatic pvt ltd,IT,3
vtsk solutions,IT,3
weberon solutions,IT,3
webgyor global,IT,3
webnish software pvt ltd,IT,3
webrich softwares,IT,3
wisdomleaf technologies pvt ltd,IT,3
wolken software,IT,3
xiphias software technologies pvt ltd,IT,3
xithi technologies pvt ltd,IT,3
xyka software pvt ltd,IT,3
yarago software pvt ltd,IT,3
ypsilon consulting,IT,3
zevenseas,IT,3
zomisys technologies pvt ltd,IT,3
zues software technologies pvt ltd,IT,3
talisma corporation pvt ltd,IT,2
tally solutions pvt ltd,IT,2
tandon information solutions pvt. ltd.,IT,3
tarang software technologies pvt ltd,IT,3
tata consultancy services ltd,IT,3
tata elxsi limited,IT,2
tata elxsi ltd.,IT,2
tata technologies limited,IT,2
tavant technologies india pvt ltd,IT,2
tcgivega information technologies pvt ltd,IT,3
tcs business transformation solutions ltd (tcs-bts),IT,2
teamlease services pvt ltd,IT,2
tech mahindra ltd,IT,2
techspan,IT,2
techspan india ltd.,IT,2
tekedge 809,IT,3
teledna communications pvt ltd,IT,3
telelogic india pvt ltd,IT,2
texas instruments india ltd.,IT,2
texas instruments india pvt. ltd.,IT,2
think ahead advisory services pvt ltd,IT,3
thinksoft global services (p) ltd,IT,2
thirdware solution ltd.,IT,3
tholons knowledge management pvt ltd,IT,3
thomson corporation (international) pvt ltd,IT,2
thoughtworks technologies india pvt ltd,IT,2
tibco software india pvt ltd,IT,3
timken engineering and research india pvt ltd,IT,2
tpi advisory services india pvt ltd,IT,3
tqm international pvt ltd,IT,3
transfleet global services pvt ltd (tesco india),IT,3
trianz consulting pvt ltd,IT,3
tricon infotech pvt. ltd,IT,3
trigent software ltd.,IT,3
trilogy e-business software india ltd,IT,3
trimentus technologies pvt ltd,IT,3
trivium icope technologies pvt ltd,IT,3
trrs imaging ltd,IT,3
u&i scotty computers ltd,IT,3
ubics technologies pvt ltd,IT,3
ul india pvt ltd,IT,3
unisys global services - india (stp division of unisys india pvt ltd),IT,3
universal legal,IT,3
usi internetworking services pvt ltd,IT,3
utl technologies ltd.,IT,3
utopia india pvt ltd,IT,3
valtech india technology solutions pvt ltd,IT,3
vee technologies pvt ltd,IT,3
vinciti networks pvt ltd,IT,3
vinpack india pvt. ltd,IT,3
viteos capital market services ltd,IT,3
vmoksha technologies pvt ltd,IT,3
vxl etech ltd,IT,3
"wind river systems, Inc",IT,3
winfoware technologies pvt ltd,IT,3
wipro global r&d solutions,IT,2
wipro group of companies,IT,2
wipro infotech,IT,2
wipro technologies (wipro ltd),IT,2
wisdomleaf it technologies pvt ltd,IT,3
wyse technology sales & marketing india pvt ltd,IT,3
xsysys technologies pvt ltd,IT,3
xyka software pvt ltd,IT,3
zenith software limited,IT,3
"aagna corporate services(p) ltd.,",BPO/KPO,3
abacus techno solutions pvt ltd,BPO/KPO,3
accelerate infotech,BPO/KPO,3
adapsys technologies pvt. ltd.,BPO/KPO,3
adept consulting,BPO/KPO,3
aenon consultants,BPO/KPO,3
agilent bpo,BPO/KPO,2
aldiablos pvt ltd,BPO/KPO,3
aldos associates,BPO/KPO,3
alpha global connect pvt ltd,BPO/KPO,3
altius customer services pvt ltd,BPO/KPO,3
amab india,BPO/KPO,3
amaran & company,BPO/KPO,3
amvin systems(p) ltd,BPO/KPO,3
anthem consulting pvt ltd,BPO/KPO,3
anther,BPO/KPO,3
apex management consultants,BPO/KPO,3
arjun infoserv & e-services,BPO/KPO,3
ascent training & consultancy,BPO/KPO,3
atcis technology pvt ltd,BPO/KPO,3
athena hr services,BPO/KPO,3
aum sai bpo & business solutions,BPO/KPO,3
auroshri hr services private limited,BPO/KPO,3
avazon bpo,BPO/KPO,3
avidus smpl,BPO/KPO,3
axe bpo services,BPO/KPO,3
axiom bpm services pvt ltd,BPO/KPO,3
azimut design,BPO/KPO,3
basil communications (p) limited,BPO/KPO,3
bezalel infotech pvt ltd,BPO/KPO,3
bpojobs online,BPO/KPO,3
brainsource management consultants,BPO/KPO,3
bridge placement,BPO/KPO,3
bungay international,BPO/KPO,3
c-dreamz consultancy services (p) ltd,BPO/KPO,3
calendula technosoft pvt ltd,BPO/KPO,3
caliberpoint,BPO/KPO,3
calscal systems pvt ltd,BPO/KPO,3
capricorn hr consultancy,BPO/KPO,3
career marshal,BPO/KPO,3
career tangent,BPO/KPO,3
chitransh technologies,BPO/KPO,3
cira services,BPO/KPO,3
cityland technologies pvt ltd,BPO/KPO,3
clan consulting pvt ltd,BPO/KPO,3
cmc manpower consultants,BPO/KPO,3
computer links,BPO/KPO,3
concierge software solutions pvt ltd,BPO/KPO,3
conduite endeavor infosoft pvt ltd.,BPO/KPO,3
conexus netcom solutions pvt ltd,BPO/KPO,3
contact 360,BPO/KPO,3
contact bridge ites pvt ltd,BPO/KPO,3
corpone,BPO/KPO,3
cosmic global limited,BPO/KPO,3
cr consultancy,BPO/KPO,3
craaze bpo services international,BPO/KPO,3
crosslinkz informatics pvt ltd,BPO/KPO,3
cybertrendz it services,BPO/KPO,3
daemon technologies,BPO/KPO,3
darts it networks pvt ltd,BPO/KPO,3
data infovision,BPO/KPO,3
data management systems pvt ltd,BPO/KPO,3
data max,BPO/KPO,3
delsat technologies,BPO/KPO,3
desicrew solutions pvt ltd,BPO/KPO,3
development logics solutions pvt. ltd.,BPO/KPO,3
dextsys communications,BPO/KPO,3
diginet info systems,BPO/KPO,3
ditech process solutions,BPO/KPO,3
dss technologies,BPO/KPO,3
effort bpo ltd,BPO/KPO,3
eivor technologies,BPO/KPO,3
el camino micro electronics pvt ltd,BPO/KPO,3
emacct consulting pvt ltd,BPO/KPO,3
enskay it & telecom services,BPO/KPO,3
ensomerge,BPO/KPO,3
etech,BPO/KPO,3
evolution corporate solutions,BPO/KPO,3
excel callnet pvt ltd,BPO/KPO,3
flexus soft services,BPO/KPO,3
flyingeyes,BPO/KPO,3
fortune knowledge solutionz (i) pvt ltd,BPO/KPO,3
fostra technologies,BPO/KPO,3
fusion consultants,BPO/KPO,3
galactica,BPO/KPO,3
galaxy bpm,BPO/KPO,3
gandhi infotech pvt ltd,BPO/KPO,3
gcmspl,BPO/KPO,3
genesis,BPO/KPO,3
green channel logistics centre,BPO/KPO,3
greptech solutions pvt ltd,BPO/KPO,3
hartron communications limited,BPO/KPO,3
helios outsourcing pvt ltd,BPO/KPO,3
hi-calibre it,BPO/KPO,3
highbro interactive,BPO/KPO,3
horizongrp,BPO/KPO,3
hr specialist india,BPO/KPO,3
hrschesi,BPO/KPO,3
